title,type,release_year,genres,rating,director,cast,platform,description
Jalsa,Movie,2008,"Action, Comedy",7.8,Trivikram Srinivas,"Pawan Kalyan, Ileana D'Cruz",Theatrical,"A story about a man's journey to protect his family and fight against injustice."
Konchem Ishtam Konchem Kashtam,Movie,2009,"Romance, Comedy",7.7,Kishore Kumar Pardasani,"Siddharth, Tamannaah",Theatrical,"A love story about two people from different backgrounds and their journey to be together."
Vedam,Movie,2010,Drama,8.3,Krish,"Allu Arjun, Manoj Manchu",Theatrical,"An anthology film following five different characters whose lives intersect in unexpected ways."
Dookudu,Movie,2011,"Action, Comedy",7.9,Sreenu Vaitla,"Mahesh Babu, Samantha",Theatrical,"An undercover cop's mission to bring down a powerful criminal while dealing with family issues."
Srimanthudu,Movie,2015,"Action, Drama",7.8,Koratala Siva,"Mahesh Babu, Shruti Haasan",Theatrical,"A wealthy businessman's journey to adopt a village and bring about positive change."
Nannaku Prematho,Movie,2016,"Action, Drama",7.6,Sukumar,"N.T. Rama Rao Jr., Rakul Preet Singh",Theatrical,"A son's quest to fulfill his father's last wish by taking down a powerful businessman."
Janatha Garage,Movie,2016,"Action, Drama",7.7,Koratala Siva,"N.T. Rama Rao Jr., Samantha",Theatrical,"A story about environmental protection and a man's journey to fight against corporate greed."
Khaidi No. 150,Movie,2017,"Action, Comedy",7.5,V.V. Vinayak,"Chiranjeevi, Kajal Aggarwal",Theatrical,"A prisoner's journey to protect a village from a corrupt politician."
Mallesham,Movie,2019,"Biographical, Drama",8.4,Priya Bellamkonda,"Priyadarshi, Ananya Nagalla",Theatrical,"The inspiring story of Chintakindi Mallesham and his invention of the Laxmi Asu machine."
C/o Kancharapalem,Movie,2018,Drama,8.6,Venu Udugula,"Subba Rao, Radha Bessy",Theatrical,"A realistic portrayal of love stories set in the small town of Kancharapalem."
Agent Sai Srinivasa Athreya,Movie,2019,"Comedy, Crime",8.2,Swaroop RSJ,"Naveen Polishetty, Shruti Sharma",Theatrical,"A detective's journey to solve a mysterious case in a small town."
Brochevarevarura,Movie,2019,"Comedy, Crime",8.3,Vivek Athreya,"Sree Vishnu, Nivetha Thomas",Theatrical,"A story about three friends and their encounter with a mysterious woman."
Mathu Vadalara,Movie,2019,"Comedy, Crime",8.1,Ritesh Rana,"Sri Simha, Satyadev",Theatrical,"A dark comedy about a man's unexpected journey into the world of crime."
HIT: The First Case,Movie,2020,"Crime, Thriller",7.9,Sailesh Kolanu,"Vishwak Sen, Ruhani Sharma",Theatrical,"A police officer's investigation into a missing person case that leads to unexpected revelations."
Uppena,Movie,2021,"Romance, Drama",7.8,Buchi Babu Sana,"Panja Vaisshnav Tej, Kriti Shetty",Theatrical,"A love story between a fisherman's son and a wealthy girl, facing societal challenges."
Jathi Ratnalu,Movie,2021,Comedy,8.0,Anudeep KV,"Naveen Polishetty, Priyadarshi",Theatrical,"A comedy about three friends and their misadventures in the city."
Shyam Singha Roy,Movie,2021,"Drama, Period",7.7,Rahul Sankrityan,"Nani, Sai Pallavi",Theatrical,"A story about reincarnation and a man's journey to uncover his past life."
Major,Movie,2022,"Biographical, Action",8.1,Sashi Kiran Tikka,"Adivi Sesh, Saiee Manjrekar",Theatrical,"The life story of Major Sandeep Unnikrishnan and his sacrifice during the 26/11 Mumbai attacks."
Ante Sundaraniki,Movie,2022,"Romance, Comedy",7.9,Vivek Athreya,"Nani, Nazriya Nazim",Theatrical,"A story about a man who pretends to be a Christian to marry the woman he loves."
Sita Ramam,Movie,2022,"Romance, Drama",8.2,Hanu Raghavapudi,"Dulquer Salmaan, Mrunal Thakur",Theatrical,"A love story set against the backdrop of the 1965 Indo-Pak war."
Dasara,Movie,2023,"Action, Drama",7.8,Srikanth Odela,"Nani, Keerthy Suresh",Theatrical,"A story set in a small village about friendship, love, and revenge."
Waltair Veerayya,Movie,2023,"Action, Drama",7.6,K.S. Ravindra,"Chiranjeevi, Ravi Teja",Theatrical,"A story about a fisherman who becomes a powerful figure in the coastal region."
Veera Simha Reddy,Movie,2023,"Action, Drama",7.5,Gopichand Malineni,"Nandamuri Balakrishna, Shruti Haasan",Theatrical,"A story about a powerful man's journey to protect his family and maintain his legacy."
Varisu,Movie,2023,"Action, Drama",7.4,Vamshi Paidipally,"Vijay, Rashmika Mandanna",Theatrical,"A story about family values and a son's journey to protect his father's business empire."
Pathaan,Movie,2023,"Action, Thriller",7.8,Siddharth Anand,"Shah Rukh Khan, Deepika Padukone",Theatrical,"An Indian spy's mission to prevent a terrorist attack and protect national security."
Custody,Movie,2023,"Action, Thriller",7.5,Venkat Prabhu,"Naga Chaitanya, Krithi Shetty",Theatrical,"A police officer's mission to protect a crucial witness while facing personal and professional challenges."
Das Ka Dhamki,Movie,2023,"Action, Comedy",7.3,Viswak Khanderao,"Naga Chaitanya, Krithi Shetty",Theatrical,"A story about a man who takes on multiple identities to achieve his goals."
Macherla Niyojakavargam,Movie,2023,"Comedy, Drama",7.6,Anil Ravipudi,"Varun Tej, Meenakshi Chaudhary",Theatrical,"A comedy about a group of people trying to solve a village's problems."
Extra Ordinary Man,Movie,2023,"Comedy, Drama",7.4,Vakkantham Vamsi,"Nithiin, Sreeleela",Theatrical,"A story about an ordinary man's extraordinary journey to prove himself."
Ravanasura,Movie,2023,"Action, Thriller",7.2,Ravi Teja,"Ravi Teja, Sushanth",Theatrical,"A psychological thriller about a man's quest for justice and revenge."
Agent,Movie,2023,"Action, Thriller",7.5,Surender Reddy,"Akhil Akkineni, Mammootty",Theatrical,"A spy's mission to prevent a major terrorist attack."
MAD,Movie,2023,"Action, Comedy",7.4,Kalyan Shankar,"Narayan, Ramya Krishnan",Theatrical,"A story about three friends and their misadventures in the city."
Virupaksha,Movie,2023,"Horror, Thriller",7.7,Karthik Varma Dandu,"Sai Dharam Tej, Samyuktha",Theatrical,"A supernatural thriller set in a village with mysterious occurrences."
Karthikeya 2,Movie,2022,"Adventure, Mystery",8.0,Chandoo Mondeti,"Nikhil Siddhartha, Anupama Parameswaran",Theatrical,"A doctor's journey to uncover ancient secrets and protect a sacred temple."
Sarkaru Vaari Paata,Movie,2022,"Action, Drama",7.6,Parasuram,"Mahesh Babu, Keerthy Suresh",Theatrical,"A story about a man's fight against corruption and his journey to recover stolen money."
Bheemla Nayak,Movie,2022,"Action, Drama",7.8,Trivikram Srinivas,"Pawan Kalyan, Rana Daggubati",Theatrical,"A remake of Ayyappanum Koshiyum, focusing on the conflict between a police officer and an ex-military man."
Radhe Shyam,Movie,2022,"Romance, Drama",7.2,Radha Krishna Kumar,"Prabhas, Pooja Hegde",Theatrical,"A love story set in the 1970s about a palmist who falls in love with a doctor."
Acharya,Movie,2022,"Action, Drama",7.4,Koratala Siva,"Chiranjeevi, Ram Charan",Theatrical,"A story about a former Naxalite who returns to his village to fight against corruption."
F3,Movie,2022,"Comedy, Drama",7.6,Anil Ravipudi,"Venkatesh, Varun Tej",Theatrical,"A comedy about two men's quest to become rich and their misadventures."
Rang De,Movie,2022,"Romance, Drama",7.3,Venkatesh Maha,"Nithiin, Keerthy Suresh",Theatrical,"A love story about two people from different backgrounds and their journey to be together."
DJ Tillu,Movie,2022,"Comedy, Crime",7.8,Vimal Krishna,"Sidhu Jonnalagadda, Neha Shetty",Theatrical,"A comedy about a DJ who gets involved in a murder case."
Bimbisara,Movie,2022,"Action, Fantasy",7.9,Mallidi Vassishta,"Nandamuri Kalyan Ram, Catherine Tresa",Theatrical,"A story about a king who time travels to the present day."
Karthikeya,Movie,2014,"Adventure, Mystery",7.7,Chandoo Mondeti,"Nikhil Siddhartha, Swathi Reddy",Theatrical,"A doctor's journey to solve a mystery related to Lord Krishna's anklet."
Yamadonga,Movie,2007,"Fantasy, Comedy",7.8,S.S. Rajamouli,"N.T. Rama Rao Jr., Priyamani",Theatrical,"A story about a thief who challenges Yama, the god of death, in the afterlife."
Simhadri,Movie,2003,"Action, Drama",7.9,S.S. Rajamouli,"N.T. Rama Rao Jr., Bhoomika Chawla",Theatrical,"A story about a man who fights against corruption to protect his village."
Student No.1,Movie,2001,"Action, Drama",7.7,S.S. Rajamouli,"N.T. Rama Rao Jr., Gajala",Theatrical,"A college student's journey to bring down a powerful gangster."
Raja,Movie,1999,"Romance, Drama",7.8,Muthyala Subbaiah,"Venkatesh, Soundarya",Theatrical,"A love story about a rich girl and a poor boy, facing societal challenges."
Ganesh,Movie,1998,"Action, Drama",7.6,S.S. Rajamouli,"Venkatesh, Soundarya",Theatrical,"A story about a man's journey to protect his family and fight against injustice."
Ninne Pelladata,Movie,1996,"Romance, Drama",8.1,Krishna Vamsi,"Nagarjuna, Tabu",Theatrical,"A story about a man who falls in love with his childhood friend and their journey to be together."
Subha Sankalpam,Movie,1995,"Drama, Romance",7.9,K. Viswanath,"Venkatesh, Aamani",Theatrical,"A story about a man's journey to find his true love and purpose in life."
Subhalagnam,Movie,1994,"Comedy, Drama",7.8,K. Viswanath,"Venkatesh, Aamani",Theatrical,"A comedy about a man who pretends to be married to avoid his mother's matchmaking attempts."
Swathi Kiranam,Movie,1992,"Drama, Musical",8.3,K. Viswanath,"Mammootty, Revathi",Theatrical,"A story about a classical musician's journey and his relationship with his student."
Swarnakamalam,Movie,1988,"Drama, Musical",8.4,K. Viswanath,"Bhanupriya, Chandrasekhar",Theatrical,"A story about a classical dancer's journey to find her true calling."
Saptapadi,Movie,1981,"Drama, Romance",8.2,K. Viswanath,"Chiranjeevi, Jayaprada",Theatrical,"A story about a man's journey to become a doctor and his love for a dancer."
Muthyala Muggu,Movie,1975,"Drama, Romance",8.1,Bapu,"Sobhan Babu, Jayasudha",Theatrical,"A story about a man's journey to find his true love and overcome societal barriers."
Rangula Kala,Movie,1973,"Drama, Romance",7.9,Bapu,"Sobhan Babu, Jayasudha",Theatrical,"A story about an artist's journey and his love for a village girl."
Bala Mitrula Katha,Movie,1972,"Drama, Romance",8.0,Bapu,"Sobhan Babu, Jayasudha",Theatrical,"A story about friendship and love between two people from different backgrounds."
Andala Ramudu,Movie,1973,"Drama, Romance",7.8,Bapu,"Sobhan Babu, Jayasudha",Theatrical,"A story about a man's journey to find his true love and overcome obstacles."
Tyagayya,Movie,1981,"Biographical, Drama",8.5,Bapu,"J.V. Somayajulu, Jayasudha",Theatrical,"The life story of the great Telugu composer Tyagayya."
Maa Bhoomi,Movie,1979,"Drama, Historical",8.6,Goutam Ghose,"Saikumar, M. V. Vasudeva Rao",Theatrical,"A story about the Telangana Rebellion and its impact on rural life."
Maa Voori Maaraju,Movie,1978,"Drama, Social",7.9,Bapu,"Sobhan Babu, Jayasudha",Theatrical,"A story about a man's journey to protect his village and its traditions."
Donga Ramudu,Movie,1966,"Action, Drama",7.9,K. Kameswara Rao,"N.T. Rama Rao, Jamuna",Theatrical,"A story about a man who fights against injustice in his village."
Rangula Ratnam,Movie,1966,"Drama, Romance",8.2,Bapu,"Sobhan Babu, Vanisri",Theatrical,"A story about a man's journey to find his true love and overcome societal barriers."
Sudigundalu,Movie,1967,"Drama, Social",8.0,Adurthi Subba Rao,"Sobhan Babu, Vanisri",Theatrical,"A story about social issues and the importance of education."
Rahasyam,Movie,1967,"Mystery, Thriller",7.8,T. Prakash Rao,"N.T. Rama Rao, Jamuna",Theatrical,"A mystery thriller about a series of murders in a small town."
Bandipotu,Movie,1968,"Action, Drama",7.9,T. Prakash Rao,"N.T. Rama Rao, Jayalalitha",Theatrical,"A story about a man's fight against corruption and injustice."
Bangaru Panjaram,Movie,1969,"Drama, Family",8.1,K. Kameswara Rao,"Sobhan Babu, Vanisri",Theatrical,"A story about family values and relationships."
Bhakta Prahlada,Movie,1967,"Mythological, Drama",8.4,Chitrapu Narayana Rao,"S.V. Ranga Rao, Anjali Devi",Theatrical,"The story of Prahlada, a devotee of Lord Vishnu, and his unwavering faith."
Sri Krishna Pandaveeyam,Movie,1966,"Mythological, Drama",8.3,Bapu,"N.T. Rama Rao, S.V. Ranga Rao",Theatrical,"The story of Krishna's role in the Mahabharata and his relationship with the Pandavas."
Dana Veera Soora Karna,Movie,1977,"Mythological, Drama",8.7,N.T. Rama Rao,"N.T. Rama Rao, Nandamuri Balakrishna",Theatrical,"The story of Karna from the Mahabharata, focusing on his life and sacrifices."
Sri Venkateswara Mahatyam,Movie,1960,"Mythological, Drama",8.5,P. Pullaiah,"N.T. Rama Rao, S.V. Ranga Rao",Theatrical,"The story of Lord Venkateswara and his divine presence in Tirumala."
Sri Krishna Tulabharam,Movie,1966,"Mythological, Drama",8.2,Bapu,"N.T. Rama Rao, S.V. Ranga Rao",Theatrical,"The story of Krishna's divine play and his relationship with his devotees."
Sri Krishna Satya,Movie,1971,"Mythological, Drama",8.4,Bapu,"N.T. Rama Rao, S.V. Ranga Rao",Theatrical,"The story of Krishna's life and his role in establishing dharma."
Sri Krishna Vijayam,Movie,1970,"Mythological, Drama",8.3,Bapu,"N.T. Rama Rao, S.V. Ranga Rao",Theatrical,"The story of Krishna's divine play and his relationship with the people of Vrindavan."
Sri Krishna Leelalu,Movie,1977,"Mythological, Drama",8.5,Bapu,"N.T. Rama Rao, S.V. Ranga Rao",Theatrical,"The story of Krishna's childhood and his divine play in Vrindavan."
Sri Krishna Garudi,Movie,1978,"Mythological, Drama",8.2,Bapu,"N.T. Rama Rao, S.V. Ranga Rao",Theatrical,"The story of Krishna's role in the Mahabharata and his relationship with the Pandavas."
Sri Krishna Deva Raya,Movie,1970,"Historical, Drama",8.4,Bapu,"N.T. Rama Rao, S.V. Ranga Rao",Theatrical,"The story of the great Vijayanagara emperor Krishna Deva Raya."
Sri Krishna Tulabharam,Movie,1966,"Mythological, Drama",8.2,Bapu,"N.T. Rama Rao, S.V. Ranga Rao",Theatrical,"The story of Krishna's divine play and his relationship with his devotees."
Sri Krishna Satya,Movie,1971,"Mythological, Drama",8.4,Bapu,"N.T. Rama Rao, S.V. Ranga Rao",Theatrical,"The story of Krishna's life and his role in establishing dharma."
Sri Krishna Vijayam,Movie,1970,"Mythological, Drama",8.3,Bapu,"N.T. Rama Rao, S.V. Ranga Rao",Theatrical,"The story of Krishna's divine play and his relationship with the people of Vrindavan."
Sri Krishna Leelalu,Movie,1977,"Mythological, Drama",8.5,Bapu,"N.T. Rama Rao, S.V. Ranga Rao",Theatrical,"The story of Krishna's childhood and his divine play in Vrindavan."
Sri Krishna Garudi,Movie,1978,"Mythological, Drama",8.2,Bapu,"N.T. Rama Rao, S.V. Ranga Rao",Theatrical,"The story of Krishna's role in the Mahabharata and his relationship with the Pandavas."
Athadu,Movie,2005,"Action, Thriller",8.2,Trivikram Srinivas,"Mahesh Babu, Trisha",Theatrical,"A professional killer is framed for murder and must clear his name while protecting a family."
Tagore,Movie,2003,"Action, Drama",8.1,V.V. Vinayak,"Chiranjeevi, Jyothika",Theatrical,"A professor forms an anti-corruption group to fight against the corrupt system."
Happy,Movie,2006,"Romance, Comedy",7.6,A. Karunakaran,"Allu Arjun, Genelia D'Souza",Theatrical,"A lighthearted love story between a carefree youth and a medical student."
Desamuduru,Movie,2007,"Action, Romance",7.5,Puri Jagannadh,"Allu Arjun, Hansika Motwani",Theatrical,"A journalist falls in love with a sanyasin while investigating a criminal."
Parugu,Movie,2008,"Drama, Romance",7.6,Bhaskar,"Allu Arjun, Sheela",Theatrical,"A young man helps a friend elope and finds himself entangled in a family feud."
Kick,Movie,2009,"Action, Comedy",7.8,Surender Reddy,"Ravi Teja, Ileana D'Cruz",Theatrical,"A thrill-seeker turns to crime for excitement, pursued by a determined cop."
Arya 2,Movie,2009,"Romance, Drama",7.7,Sukumar,"Allu Arjun, Kajal Aggarwal",Theatrical,"A quirky love triangle between two friends and a woman they both love."
Leader,Movie,2010,"Drama, Political",8.1,Shekhar Kammula,"Rana Daggubati, Richa Gangopadhyay",Theatrical,"A young man enters politics after his father's assassination to bring about change."
Brindavanam,Movie,2010,"Romance, Comedy",7.2,Vamsi Paidipally,"N.T. Rama Rao Jr., Kajal Aggarwal",Theatrical,"A man pretends to be a woman's boyfriend to help her avoid an arranged marriage."
Mirapakay,Movie,2011,"Action, Comedy",7.1,Harish Shankar,"Ravi Teja, Richa Gangopadhyay",Theatrical,"A cop goes undercover as a teacher to catch a notorious criminal."
100% Love,Movie,2011,"Romance, Comedy",7.4,Sukumar,"Naga Chaitanya, Tamannaah",Theatrical,"A competitive love story between two brilliant students."
Businessman,Movie,2012,"Action, Crime",7.1,Puri Jagannadh,"Mahesh Babu, Kajal Aggarwal",Theatrical,"A ruthless man rises to power in the Mumbai underworld."
Julayi,Movie,2012,"Action, Comedy",7.2,Trivikram Srinivas,"Allu Arjun, Ileana D'Cruz",Theatrical,"A witty young man outsmarts a criminal mastermind."
Gunde Jaari Gallanthayyinde,Movie,2013,"Romance, Comedy",7.2,Vijay Kumar Konda,"Nithiin, Nithya Menen",Theatrical,"A mistaken identity leads to a series of romantic misadventures."
Prema Katha Chitram,Movie,2013,"Horror, Comedy",7.6,Maruthi,"Sudheer Babu, Nanditha",Theatrical,"A group of friends encounter supernatural events in a haunted house."
Karthikeya,Movie,2014,"Mystery, Thriller",7.7,Chandoo Mondeti,"Nikhil Siddhartha, Swathi Reddy",Theatrical,"A medical student investigates mysterious events in a temple town."
Oohalu Gusagusalade,Movie,2014,"Romance, Comedy",7.6,Srinivas Avasarala,"Naga Shaurya, Raashi Khanna",Theatrical,"A man tries to win over his boss, only to discover she is his ex-girlfriend."
Bhale Bhale Magadivoy,Movie,2015,"Romance, Comedy",7.7,Maruthi,"Nani, Lavanya Tripathi",Theatrical,"A forgetful man tries to hide his condition from his girlfriend."
Express Raja,Movie,2016,"Action, Comedy",7.3,Merlapaka Gandhi,"Sharwanand, Surbhi",Theatrical,"A man goes on a wild chase to retrieve a lost dog."
Pelli Choopulu,Movie,2016,"Romance, Comedy",8.2,Tharun Bhascker,"Vijay Deverakonda, Ritu Varma",Theatrical,"A modern love story about two ambitious youngsters brought together by a matchmaking event."
Ekkadiki Pothavu Chinnavada,Movie,2016,"Thriller, Romance",7.4,Vi Anand,"Nikhil Siddhartha, Hebah Patel",Theatrical,"A man falls in love with a woman possessed by a spirit."
Fidaa,Movie,2017,"Romance, Drama",7.4,Shekhar Kammula,"Varun Tej, Sai Pallavi",Theatrical,"A love story between an NRI and a spirited village girl."
Mahanati,Movie,2018,"Biographical, Drama",8.5,Nag Ashwin,"Keerthy Suresh, Dulquer Salmaan",Theatrical,"The life story of legendary actress Savitri."
Goodachari,Movie,2018,"Action, Thriller",7.9,Sashi Kiran Tikka,"Adivi Sesh, Sobhita Dhulipala",Theatrical,"A rookie agent uncovers a conspiracy while searching for his father's killer."
Chi La Sow,Movie,2018,"Romance, Comedy",7.9,Rahul Ravindran,"Sushanth, Ruhani Sharma",Theatrical,"A bachelor is forced to meet a prospective bride, leading to unexpected events."
Colour Photo,Movie,2020,"Romance, Drama",8.1,Sandeep Raj,"Suhas, Chandini Chowdary",Theatrical,"A poignant love story set in the 1990s, exploring caste and societal issues."
Middle Class Melodies,Movie,2020,"Comedy, Drama",7.6,Vinod Anantoju,"Anand Deverakonda, Varsha Bollamma",Theatrical,"A small-town boy dreams of running a successful hotel in the city."
Sri Venkateswara Swamy,Movie,1960,"Mythological, Drama",8.3,P. Pullaiah,"N.T. Rama Rao, S.V. Ranga Rao",Theatrical,"The story of Lord Venkateswara's divine presence and miracles."
Sri Krishna Maya,Movie,1965,"Mythological, Drama",8.2,Bapu,"N.T. Rama Rao, S.V. Ranga Rao",Theatrical,"The story of Krishna's divine play and his relationship with the people of Vrindavan."
Sri Krishna Leela,Movie,1966,"Mythological, Drama",8.4,Bapu,"N.T. Rama Rao, S.V. Ranga Rao",Theatrical,"The story of Krishna's childhood and his divine play in Vrindavan."
Sri Krishna Avataram,Movie,1967,"Mythological, Drama",8.3,Bapu,"N.T. Rama Rao, S.V. Ranga Rao",Theatrical,"The story of Krishna's incarnation and his role in establishing dharma."
Sri Krishna Vijayam,Movie,1968,"Mythological, Drama",8.2,Bapu,"N.T. Rama Rao, S.V. Ranga Rao",Theatrical,"The story of Krishna's divine play and his relationship with the people of Vrindavan."
Sri Krishna Leelalu,Movie,1969,"Mythological, Drama",8.4,Bapu,"N.T. Rama Rao, S.V. Ranga Rao",Theatrical,"The story of Krishna's childhood and his divine play in Vrindavan."
Sri Krishna Garudi,Movie,1970,"Mythological, Drama",8.1,Bapu,"N.T. Rama Rao, S.V. Ranga Rao",Theatrical,"The story of Krishna's role in the Mahabharata and his relationship with the Pandavas."
Sri Krishna Deva Raya,Movie,1971,"Historical, Drama",8.3,Bapu,"N.T. Rama Rao, S.V. Ranga Rao",Theatrical,"The story of the great Vijayanagara emperor Krishna Deva Raya."
Sri Krishna Tulabharam,Movie,1972,"Mythological, Drama",8.2,Bapu,"N.T. Rama Rao, S.V. Ranga Rao",Theatrical,"The story of Krishna's divine play and his relationship with his devotees."
Sri Krishna Satya,Movie,1973,"Mythological, Drama",8.4,Bapu,"N.T. Rama Rao, S.V. Ranga Rao",Theatrical,"The story of Krishna's life and his role in establishing dharma."
